"","Plant.Id","Plant.Name","State","Net.Gen","Physical_Unit","Total_Fuel_Consumption","FuelType","Lat","Lon"
"1227",1230,"Cimarron River","KS",660,"mcf","7,280","NG",37.16,-100.76
"1228",1233,"Fort Dodge","KS",67228,"mcf","871,460","NG",37.73,-99.95
"1229",1233,"Fort Dodge","KS",0,"barrels","0","NG",37.73,-99.95
"1230",1235,"Great Bend - Sunflower","KS",-775,"mcf","16,039",NA,NA,NA
"1231",1235,"Great Bend - Sunflower","KS",0,"barrels","0",NA,NA,NA
"1232",1239,"Riverton","KS",0,"mcf","0","NG",37.07,-94.7
"1233",1239,"Riverton","KS",0,"short tons","0","NG",37.07,-94.7
"1234",1239,"Riverton","KS",0,"barrels","0","NG",37.07,-94.7
"1235",1239,"Riverton","KS",108445,"mcf","1,221,344","NG",37.07,-94.7
"1236",1239,"Riverton","KS",0,"short tons","0","NG",37.07,-94.7
"1237",1239,"Riverton","KS",0,"short tons","0","NG",37.07,-94.7
"1238",1239,"Riverton","KS",0,"short tons","0","NG",37.07,-94.7
"1239",1239,"Riverton","KS",-2071,"mcf","641","NG",37.07,-94.7
"1240",1239,"Riverton","KS",0,"short tons","0","NG",37.07,-94.7
"1241",1239,"Riverton","KS",0,"short tons","0","NG",37.07,-94.7
"1242",1240,"Gordon Evans Energy Center","KS",224,"barrels","458","NG",37.79,-97.52
"1243",1240,"Gordon Evans Energy Center","KS",72582,"mcf","814,516","NG",37.79,-97.52
"1244",1240,"Gordon Evans Energy Center","KS",17,"barrels","29","NG",37.79,-97.52
"1245",1240,"Gordon Evans Energy Center","KS",210872,"mcf","2,887,841","NG",37.79,-97.52
"1246",1241,"La Cygne","KS",320100,"short tons","193,274","SUB",38.35,-94.65
"1247",1241,"La Cygne","KS",30894,"barrels","58,750","SUB",38.35,-94.65
"1248",1241,"La Cygne","KS",6630238,"short tons","4,086,459","SUB",38.35,-94.65
"1249",1242,"Murray Gill","KS",35273,"mcf","642,673","NG",37.6,-97.41
"1250",1242,"Murray Gill","KS",0,"barrels","0","NG",37.6,-97.41
"1251",1248,"Hutchinson Energy Center","KS",190,"barrels","792","NG",38.09,-97.87
"1252",1248,"Hutchinson Energy Center","KS",6291,"mcf","144,800","NG",38.09,-97.87
"1253",1248,"Hutchinson Energy Center","KS",23,"barrels","48","NG",38.09,-97.87
"1254",1248,"Hutchinson Energy Center","KS",24057,"mcf","458,850","NG",38.09,-97.87
"1255",1250,"Lawrence Energy Center","KS",5457,"mcf","59,915","SUB",39.01,-95.27
"1256",1250,"Lawrence Energy Center","KS",2377307,"short tons","1,483,256","SUB",39.01,-95.27
"1257",1252,"Tecumseh Energy Center","KS",0,"barrels","0","SUB",39.05,-95.57
"1258",1252,"Tecumseh Energy Center","KS",3386,"mcf","58,884","SUB",39.05,-95.57
"1259",1252,"Tecumseh Energy Center","KS",1011197,"short tons","618,286","SUB",39.05,-95.57
"1260",1258,"Anthony","KS",106,"barrels","171",NA,NA,NA
"1261",1258,"Anthony","KS",860,"mcf","8,471",NA,NA,NA
"1262",1259,"Ashland","KS",11,"barrels","20",NA,NA,NA
"1263",1259,"Ashland","KS",0,"mcf","0",NA,NA,NA
"1264",1261,"Augusta Electric Plant No 1","KS",-109,"barrels","0",NA,NA,NA
"1265",1261,"Augusta Electric Plant No 1","KS",-109,"mcf","0",NA,NA,NA
"1266",1262,"Baldwin City Plant No 1","KS",23,"barrels","46",NA,NA,NA
"1267",1262,"Baldwin City Plant No 1","KS",36,"mcf","428",NA,NA,NA
"1268",1263,"Belleville","KS",88,"barrels","401",NA,NA,NA
"1269",1263,"Belleville","KS",30,"mcf","746",NA,NA,NA
"1270",1264,"Beloit","KS",49,"barrels","73",NA,NA,NA
"1271",1264,"Beloit","KS",123,"mcf","1,265",NA,NA,NA
"1272",1265,"Burlingame","KS",1,"barrels","2",NA,NA,NA
"1273",1265,"Burlingame","KS",11,"mcf","98",NA,NA,NA
"1274",1266,"Burlington (KS)","KS",131,"barrels","182","SUB",40.74,-91.12
"1275",1266,"Burlington (KS)","KS",1,"mcf","10","SUB",40.74,-91.12
"1276",1268,"Chanute 2","KS",0,"barrels","0","NG",37.7,-95.46
"1277",1268,"Chanute 2","KS",17326,"mcf","196,023","NG",37.7,-95.46
"1278",1268,"Chanute 2","KS",2,"barrels","6","NG",37.7,-95.46
"1279",1268,"Chanute 2","KS",29,"mcf","490","NG",37.7,-95.46
"1280",1270,"Clay Center","KS",0,"barrels","0",NA,NA,NA
"1281",1270,"Clay Center","KS",0,"mcf","0",NA,NA,NA
"1282",1270,"Clay Center","KS",0,"barrels","0",NA,NA,NA
"1283",1270,"Clay Center","KS",0,"mcf","0",NA,NA,NA
"1284",1271,"Coffeyville","KS",58,"barrels","93","NG",37.04,-95.61
"1285",1271,"Coffeyville","KS",19909,"mcf","252,130","NG",37.04,-95.61
"1286",1272,"Colby City of","KS",33,"barrels","61",NA,NA,NA
"1287",1272,"Colby City of","KS",0,"mcf","0",NA,NA,NA
"1288",1274,"Ellinwood","KS",66,"barrels","118",NA,NA,NA
"1289",1274,"Ellinwood","KS",6,"mcf","63",NA,NA,NA
"1290",1276,"Erie","KS",14,"barrels","21",NA,NA,NA
"1291",1278,"Garnett Municipal","KS",2,"barrels","38",NA,NA,NA
"1292",1278,"Garnett Municipal","KS",0,"mcf","0",NA,NA,NA
"1293",1279,"Girard","KS",17,"barrels","37",NA,NA,NA
"1294",1279,"Girard","KS",102,"mcf","1,195",NA,NA,NA
"1295",1280,"Goodland","KS",-176,"barrels","196",NA,NA,NA
"1296",1280,"Goodland","KS",-1398,"mcf","8,780",NA,NA,NA
"1297",1283,"Herington","KS",0,"barrels","0",NA,NA,NA
"1298",1283,"Herington","KS",0,"mcf","0",NA,NA,NA
"1299",1285,"Hill City","KS",0,"barrels","0",NA,NA,NA
"1300",1285,"Hill City","KS",0,"mcf","0",NA,NA,NA
"1301",1286,"Hoisington","KS",0,"barrels","19",NA,NA,NA
"1302",1286,"Hoisington","KS",0,"mcf","123",NA,NA,NA
"1303",1287,"Holton","KS",128,"barrels","263",NA,NA,NA
"1304",1287,"Holton","KS",1532,"mcf","17,797",NA,NA,NA
"1305",1291,"Iola","KS",119,"barrels","206",NA,NA,NA
"1306",1291,"Iola","KS",677,"mcf","6,623",NA,NA,NA
"1307",1291,"Iola","KS",0,"barrels","0",NA,NA,NA
"1308",1292,"Jetmore","KS",45,"barrels","7,200",NA,NA,NA
"1309",1292,"Jetmore","KS",0,"mcf","0",NA,NA,NA
"1310",1295,"Quindaro","KS",365,"barrels","3,215","SUB",39.15,-94.64
"1311",1295,"Quindaro","KS",-150,"mcf","1,249","SUB",39.15,-94.64
"1312",1295,"Quindaro","KS",0,"barrels","0","SUB",39.15,-94.64
"1313",1295,"Quindaro","KS",34921,"mcf","567,101","SUB",39.15,-94.64
"1314",1295,"Quindaro","KS",281342,"short tons","190,289","SUB",39.15,-94.64
"1315",1296,"Kingman Municipal Power and Light Plant","KS",247,"barrels","550",NA,NA,NA
"1316",1296,"Kingman Municipal Power and Light Plant","KS",2937,"mcf","36,493",NA,NA,NA
"1317",1297,"La Crosse","KS",19,"barrels","50",NA,NA,NA
"1318",1299,"Larned","KS",-145,"barrels","462",NA,NA,NA
"1319",1299,"Larned","KS",0,"mcf","0",NA,NA,NA
"1320",1300,"Lincoln","KS",32,"barrels","60",NA,NA,NA
"1321",1300,"Lincoln","KS",2,"mcf","33",NA,NA,NA
"1322",1305,"McPherson 2","KS",286,"barrels","796","NG",38.36,-97.68
"1323",1305,"McPherson 2","KS",14628,"mcf","230,079","NG",38.36,-97.68
"1324",1305,"McPherson 2","KS",0,"barrels","0","NG",38.36,-97.68
"1325",1306,"Meade","KS",6,"barrels","13",NA,NA,NA
"1326",1306,"Meade","KS",35,"mcf","350",NA,NA,NA
"1327",1306,"Meade","KS",0,"barrels","0",NA,NA,NA
"1328",1307,"Minneapolis City of","KS",25,"barrels","54",NA,NA,NA
"1329",1307,"Minneapolis City of","KS",198,"mcf","2,575",NA,NA,NA
"1330",1308,"Mulvane Power Plant","KS",0,"barrels","0",NA,NA,NA
"1331",1308,"Mulvane Power Plant","KS",0,"mcf","0",NA,NA,NA
"1332",1312,"Oberlin (KS)","KS",7,"barrels","13",NA,NA,NA
"1333",1312,"Oberlin (KS)","KS",0,"mcf","0",NA,NA,NA
"1334",1313,"Osage City","KS",-36,"barrels","50",NA,NA,NA
"1335",1313,"Osage City","KS",-93,"mcf","729",NA,NA,NA
"1336",1314,"Osawatomie City of","KS",5,"barrels","12",NA,NA,NA
"1337",1314,"Osawatomie City of","KS",0,"mcf","0",NA,NA,NA
"1338",1315,"Osborne","KS",68,"barrels","167",NA,NA,NA
"1339",1315,"Osborne","KS",32,"mcf","473",NA,NA,NA
