Plant.Id,State,Fuel.Simplified,Net.Gen,Lat,Lon,FuelType,Plant.Name
55102,MI,Natural Gas,7266,45.03,-84.73,NG,Livingston Generating Station
55103,OR,Natural Gas,2697515,42.17,-121.81,NG,Klamath Cogeneration Plant
55104,TX,Natural Gas,613371,30.04,-93.77,NG,Sabine Cogen
55107,RI,Natural Gas,1811668,41.8,-71.52,NG,Rhode Island State Energy Center
55109,IL,Natural Gas,71128,42.09,-88.24,NG,Rocky Road Power LLC
55110,OH,Natural Gas,314598,39.45,-84.46,NG,Madison
55111,IN,Natural Gas,105077,39.92,-87.45,NG,Vermillion Energy Facility
55112,CA,Natural Gas,1253546,39.05,-121.7,NG,Sutter Energy Center
55116,NC,Natural Gas,806855,36.33,-79.83,NG,Rockingham County CT Station
55117,LA,Natural Gas,3093987,30.22,-93.3,NG,RS Cogen
55122,TX,Natural Gas,571217,29.95,-93.88,NG,NAFTA Region Olefins Complex Cogen Fac
55123,TX,Natural Gas,3217688,26.34,-98.19,NG,Magic Valley Generating Station
55124,AZ,Natural Gas,2088595,35.05,-114.13,NG,Griffith Energy LLC
55125,OR,Wind,62338,45.88,-118.64,WND,Vansycle
55126,CT,Natural Gas,3488446,41.22,-73.1,NG,Milford Power Project
55127,CO,Natural Gas,187257,40.22,-103.69,NG,Manchief Electric Generating Station
55128,GA,Natural Gas,367382,33.81,-83.7,NG,Walton County Power LLC
55129,AZ,Natural Gas,1953793,32.9,-111.79,NG,Desert Basin
55131,IL,Natural Gas,6173794,41.48,-88.26,NG,Kendall County Generation Facility
55132,TX,Natural Gas,4030188,32.02,-94.62,NG,Tenaska Gateway Generating Station
55135,WI,Natural Gas,99384,44.19,-88.51,NG,Alliant Energy Neenah
55137,TX,Natural Gas,3352868,29.59,-97.97,NG,Rio Nogales Power Project
55138,AL,Natural Gas,13535,32.54,-85.04,NG,Lee County
55139,TX,Natural Gas,2975763,32.33,-97.73,NG,Wolf Hollow I LP
55141,GA,Natural Gas,290305,33.36,-84.99,NG,Hawk Road Facility
55144,TX,Natural Gas,4543717,29.78,-97.99,NG,Hays Energy Project
55146,OK,Natural Gas,3734504,35.98,-95.93,NG,Green Country Energy LLC
55148,IN,Natural Gas,34441,39.07,-87.01,NG,Worthington Generation LLC
55149,CT,Natural Gas,4732544,41.87,-71.9,NG,Lake Road Generating Plant
55151,CA,Natural Gas,5342223,35.3,-119.59,NG,La Paloma Generating LLC
55153,TX,Natural Gas,6007216,29.62,-98.14,NG,Guadalupe Generating Station
55154,TX,Natural Gas,2757450,30.15,-97.27,NG,Lost Pines 1 Power Project
55164,KY,Natural Gas,77335,38.39,-85.41,NG,Bluegrass Generating Station
55165,LA,Natural Gas,590472,30.16,-93.35,NG,Calcasieu
55166,SC,Natural Gas,688671,35.08,-81.58,NG,Broad River Energy Center
